supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,879,ARAS,fabrics,330,2023,5.024000000000001,6.48,13.162880000000003,16.977600000000002,
DATEKS,881,BALI,fabrics,290,2018,5.5272727272727264,6.08,14.481454545454543,15.9296,
DATEKS,882,329330 CHARLIE,fabrics,320,2022,18.176,22.976,47.62112,60.19712,
DATEKS,885,TRANSIT,fabrics,306,2021,21.968000000000004,28.558400000000002,57.55616000000001,74.82300800000002,
DATEKS,886,MALI,fabrics,300,2018,11.86909090909091,13.056000000000001,31.097018181818182,34.206720000000004,
DATEKS,887,YIKA-AS,fabrics,290,2018,4.1890909090909085,4.608,10.975418181818181,12.07296,
DATEKS,888,BITEZ,fabrics,300,2019,24.203636363636363,26.624000000000002,63.41352727272727,69.75488000000001,
DATEKS,889,TWIRLER,fabrics,308,2023,22.32,29.016,58.4784,76.02192,
DATEKS,890,STARLIGHT DIMOUT FR,fabrics,300,2023,23.200000000000003,30.160000000000004,60.78400000000001,79.01920000000001,
DATEKS,891,BREEZE / AIRSTREEM,fabrics,301,2019,13.12,17.056,34.3744,44.68672,
DATEKS,892,RAKS,fabrics,300,2018,11.879999999999999,14.190000000000001,31.1256,37.177800000000005,
DATEKS,894,CHORD / KN. SYMPHONY   ,fabrics,300,2018,27.616000000000003,35.900800000000004,72.35392000000002,94.06009600000002,
DATEKS,895,829026 CROCUS DIMOUT FR,fabrics,300,2018,20.288,24.288,53.154560000000004,63.63456,
DATEKS,896,329203 BREDA,fabrics,280,2018,18.272000000000002,23.072000000000003,47.872640000000004,60.44864000000001,
DATEKS,898,ALICANTE,fabrics,295,2021,54.22545454545455,59.648,142.07069090909093,156.27776,
DATEKS,899,386316 BORIS,fabrics,145,2020,7.792000000000001,12.592,20.41504,32.991040000000005,
DATEKS,900,ALBATROS,fabrics,300,2020,9.12,12.528,23.894399999999997,32.82336,
DATEKS,902,65552,fabrics,320,2020,14.32,15.75,37.5184,41.265,
DATEKS,903,329027 NEPTUNUS  BLACKOUT 100%,fabrics,280,2020,24.016000000000002,28.816000000000003,62.92192000000001,75.49792000000001,
DATEKS,904,329358 CRU,fabrics,300 ILGAS ROLL,2024,21.52,26.32,56.382400000000004,68.9584,
DATEKS,905,ORFEO FR,fabrics,300,2024,15.840000000000002,0,41.500800000000005,0.0,
DATEKS,906,SUR BLACKOUT,fabrics,310,2018,37.81818181818181,41.6,99.08363636363636,108.992,
