article,category,width_cm,cut_price_eur,roll_price_eur,notes
"NOKTURN","blackout","300","21.25","18.06",""
"NUMEL","decoration","290","36","30.6",""
"NUUK","outdoor","280","55.63","44.5",""
"OASIS","upholstery/decoration","280","44.63","37.93",""
"OFANTO","decoration","290","24.63","20.93",""
"OLAF","decoration","280","16.25","13.81",""
"OLIMPO – FR","decoration","300/305","Roll only","32.51","Fire retardant"
"OMEGA – FR","decoration","295/300","Roll only","31.13","Fire retardant"
"ONLY – ARM","decoration","300","12.75","10.84",""
"ORDA","upholstery/decoration","280","24.75","21.04",""
"ORGANZA – FR","fire-retardant voile","300","14.75","12.54","Fire retardant"
"ORNAMENTO","decoration","300","13.25","11.26",""
"OSAKA","decoration","280","18.75","15.94",""
"OSCAR (DISCOUNT)","decoration","295/300","18.75","15.94","DISCOUNT - available until stock lasts"
"OTELLO","upholstery/decoration","280","63.5","53.98",""
"OTTOMAN – ARM","upholstery/decoration","140","15.88","13.49",""
"PA SPRING","decoration","280","13.63","11.58",""
"PALMIER","upholstery/decoration","280","24.75","21.04",""
"PANAMA","upholstery/decoration","300","21.38","18.17",""
"PANAY","decoration","280","26.75","22.74",""
"PANDORA – FR","decoration","320/325","30.88","26.24","Fire retardant"
"PARADISE","upholstery/decoration","142/145","22.13","18.81",""
"PARANA","upholstery/decoration","280","24.75","21.04",""
"PARS (DISCOUNT)","upholstery/decoration","140","15.75","13.39","DISCOUNT - available until stock lasts"
"PASCAL (DISCOUNT)","upholstery/decoration","140","13","11.05","DISCOUNT - available until stock lasts"
"PASIFIK","decoration","320","23.63","20.08",""
"PAVONINI VELVET","upholstery/decoration","280","35","29.75",""
"PEACH SKIN LISO","lining","280","6.25","5.31",""
"PENELOPE","upholstery/decoration","140","20","17",""
"PEONY VELVET","upholstery/decoration","150","20.25","17.21",""
"PEPITTE (BLACK&WHITE)","upholstery/decoration","145","21.13","17.96",""
"PERA-340","sheer","340","10.5","8.93",""
"PERCALE LISO","lining","150","6.38","5.42",""
"PERLA – 3D (DISCOUNT)","upholstery/decoration","140","39.88","33.89","DISCOUNT - available until stock lasts"
"PETRA – FR","fire-retardant velvet","140","Roll only","32.51","Fire retardant"
"PICASSO – FR","fire-retardant dimout","295/300","Roll only","39.42","Fire retardant"
"PICASSOLINO","decoration","310","46.38","39.42",""
"PICO AVANGARDE","upholstery/decoration","280","19","16.15",""
"PICO PICASSO","upholstery/decoration","280","19","16.15",""
"PICO VINCENTO","upholstery/decoration","280","19","16.15",""
"PIXEL","upholstery/decoration","280","38","32.3",""
"PODERE","upholstery/decoration","140","18.88","16.04",""
"PONGO","decoration","310","15.63","13.28",""
"PRAT","upholstery/decoration","280","17.75","15.09",""
"PRESTO","decoration","300","24.13","20.51",""
"PRIORITY – FR","upholstery/decoration","280","48.88","41.54","Fire retardant"
"PUNT","decoration","320","20.75","17.64",""
"R-BLACKOUT","dimout","310","16.63","14.13",""
"RAJI (DISCOUNT)","decoration","280","20.75","17.64","DISCOUNT - available until stock lasts"
"REGENT","upholstery/decoration","280","39.75","33.79",""
"REGINA STYLE","upholstery/decoration","280","40.5","34.43",""
"REMBA","upholstery/decoration","280","18","15.3",""
"RIBBON","upholstery/decoration","280","37.75","32.09",""
"RITTA","tablecloths/decoration","280","26.5","22.53",""
"RIVA – FR","decoration","335/340","Roll only","24.33","Fire retardant"
"ROCOCO (ULTIMA) (DISCOUNT)","decoration","142","8.38","7.12","DISCOUNT - available until stock lasts"
"RODOS","decoration","300","12.75","10.84",""
"ROMANTIC","decoration","320","13.88","11.79",""
"ROMANTICCO","upholstery/decoration","280","62.25","52.91",""
"ROMEO – FR","decoration","325/330","Roll only","35.7","Fire retardant"
"ROSE (BLACK&WHITE)","upholstery/decoration","145","21.13","17.96",""
"ROSMARINO – FR","decoration","295/300","Roll only","37.83","Fire retardant"
"ROXAS","decoration","280","26.75","22.74",""
"ROYAL DIMOUT (DISCOUNT)","dimout","310","25.75","21.89","DISCOUNT - available until stock lasts"
"RUBENSLI","upholstery/decoration","290","52.13","44.31",""
"RUFFINA (DISCOUNT)","upholstery/decoration","140","17.25","14.66","DISCOUNT - available until stock lasts"
"RUSTICA","sheer/decoration","300","21.63","18.38",""
"SAHARA (outdoor)","outdoor","280","50.5","40.5",""
"SAHARA","decoration","300","23.13","19.66",""
"SAHARA 1 STRIPE","sheer","300","11.25","9.56",""
"SAHARA ALFA 2 STRIPES","sheer","300","12.75","10.84",""
"SAHARA BETA 2 STRIPES","sheer","300","16.88","14.34",""
"SAHARA GAMMA 2 STRIPES","sheer","300","16.88","14.34",""
"SAHARA DELTA, OMEGA","sheer","300","22.5","19.13",""
"SALAMANCA (DISCOUNT)","decoration","150","12.38","10.52","DISCOUNT - available until stock lasts"
"SAMAR","upholstery/decoration","280","23","19.55",""
"SANDERSON","upholstery/decoration","280","37.25","31.66",""
"SARA","sheer","300","21.25","18.06",""
"SATEN BLACKOUT – FR","fire-retardant dimout","300","29","24.65","Fire retardant"
"SCARLET (DISCOUNT)","upholstery/decoration","280","27.75","23.59","DISCOUNT - available until stock lasts"
"SCARLET RECYCLED – FR","fire-retardant sheer","310/315","Roll only","23.8","Fire retardant"
"SECRETS","upholstery/decoration","280","37.75","32.09",""
"SEILA","decoration","310","17.75","15.09",""
"SELVA (DISCOUNT)","decoration","280","7.38","6.75","DISCOUNT - available until stock lasts"
"SENSE","upholstery/decoration","140","48.5","7",""
"SERENDI","dimout","300","26","22.1",""
"SERENITY RECYCLED – FR","fire-retardant sheer","305/310","Roll only","27.41","Fire retardant"
"SHADOW","sheer","300","21.88","18.59",""
"SHELL","upholstery/decoration","280","37.75","30.25",""
"SHIMMER BLACKOUT – FR","blackout","280","60.63","51.53","Fire retardant"
"SIGMA – FR","decoration","305/310","Roll only","31.03","Fire retardant"
"SILK","upholstery/decoration","280","54.38","46.22",""
"SIMONA (S051)","upholstery/decoration","140","60.13","51.11",""
"SIMONA (S052,S053,X300)","upholstery/decoration","140","54.63","46.43",""
"SIMPATY","upholstery/decoration","280","29.88","25.39",""
"SISI","sheer","320","15.63","13.28",""
"SMILE – FR","sheer/decoration","300","29.38","24.97","Fire retardant"
"SNOW","upholstery/decoration","140","49.75","42.29",""
"SOLDEN","outdoor","280","50.5","40.5",""
"SOLEIL","outdoor","320","31.88","27.09",""
"SPLASH","upholstery/decoration","280","37.75","30.25",""
"STAR (DISCOUNT)","upholstery/decoration","280","11.63","9.88","DISCOUNT - available until stock lasts"
"STRUCTURA","upholstery/decoration","140","18.88","16.04",""
"STYLE","upholstery/decoration","280","40.5","34.43",""
"SULU","decoration","280","26.75","22.74",""
"SUNBEAM RECYCLED – FR","fire-retardant sheer","310/315","Roll only","21.99","Fire retardant"
"SUNNY – ARM","decoration","300","10.25","8.71",""
"SUPER WASH PLUS","upholstery/decoration","280","37.38","31.77",""
"SVET","upholstery/decoration","280","21.25","18.06",""
"TABASCO","decoration","330/335","27.38","23.27",""
"TABLE CLOTH","tablecloths/decoration","320","26","22.1",""
"TABUK","upholstery/decoration","280","23","19.55",""
"TACTIC (ULTIMA) (DISCOUNT)","decoration","140","8.38","7.12","DISCOUNT - available until stock lasts"
"TEGEL A21","upholstery/decoration","280","19.63","16.68",""
"TEGEL A23","upholstery/decoration","280","17.75","15.09",""
"TENDER 64776","decoration","320","27.13","23.06",""
"TENDER VOILE 37717","decoration","315","19.13","16.26",""
"TEQUILA","upholstery/decoration","140","18.25","15.51",""
"TERRA (DISCOUNT)","dimout","300","22.63","19.23","DISCOUNT - available until stock lasts"
"TIWI","upholstery/decoration","280","23","19.55",""
"TOSCANA","decoration","325","33.25","28.26",""
"TR-310 BLACKOUT","dimout","310","18.25","15.51",""
"TRILYE","decoration","320","15.38","13.07",""
"TRUVA","upholstery/decoration","290","19.75","16.79",""
"TUAREG (DISCOUNT)","decoration","280","20.75","17.64","DISCOUNT - available until stock lasts"
"TWIST","upholstery/decoration","140","48.5","41.23",""
"UDINE","upholstery/decoration","280","34.13","29.01",""
"ULTIMA (DISCOUNT)","decoration","140","8.38","7.12","DISCOUNT - available until stock lasts"
"UNDO","upholstery/decoration","280","24.75","21.04",""
"URBANO","upholstery/decoration","140","18.88","16.04",""
"USHUAIA","outdoor","280","63.5","50.75",""
"VALENTINA","blackout","300","30.75","24.5",""
"VELVET BLACKOUT","blackout","280","22.5","19.13",""
"VENERE (DISCOUNT)","decoration","300","22.5","19.13","DISCOUNT - available until stock lasts"
"VENICE","upholstery/decoration","280","56.13","47.71",""
"VERSACE","upholstery/decoration","140","31.88","27.09",""
"VESTA – 3D (DISCOUNT)","upholstery/decoration","140","42.25","35.91","DISCOUNT - available until stock lasts"
"VICTUS","upholstery/decoration","280","16.63","14.13",""
"VIELA","outdoor","280","50.5","40.5",""
"VISAGE","upholstery/decoration","140","31.88","27.09",""
"VIVA – FR","sheer/decoration","315","22.63","19.23","Fire retardant"
"VIVALDI","upholstery/decoration","140","34.88","29.64",""
"VOILE CHIC","decoration","300","13","11.05",""
"VOLUME – FR","sheer/decoration","300","20.75","17.64","Fire retardant"
"VRALON","outdoor","300","24.13","19.25",""
"WALL – 3D (DISCOUNT)","upholstery/decoration","140","33.75","28.69","DISCOUNT - available until stock lasts"
"WEASLY","upholstery/decoration","280","39.75","33.79",""
"WEASLY LISTA","upholstery/decoration","280","39.75","33.79",""
"WEIBEL","decoration","280","37.25","31.66",""
"WEIBEL SP","upholstery/decoration","140","26.75","22.74",""
"WILLIS","upholstery/decoration","280","39.75","33.79",""
"WIND","sheer","320","16.63","14.13",""
"WINDSOR","upholstery/decoration","280","61.63","52.38",""
"WOAL LONG – FR","fire-retardant voile","420","15.5","13.18","Fire retardant"
"WOW DIMOUT/OFF","dimout","305","23.5","19.98",""
