Supplier,Product Name,Category,Width (cm),Composition,Weight (g/m2),Martindale,Fire Rating,Remarks/Finish,Price - Cut Length (EUR/m),Price - Roll (EUR/m),Price - 250m+ (EUR/m),Price - 500m+ (EUR/m)
DABEDAN,LONDON,Velvets C1,140,100% Trevira,500,,C1 - Fire Retardant,Velvet,30.39,22.51,20.51,18.5
DABEDAN,BREST,Velvets C1,140,61% Trevira 39% Pes,500,,C1 - Fire Retardant,Velvet,35.24,26.1,24.14,22.27
DABEDAN,MOON,Velvets C1,140,70% Trevira 30% Pes,600,,C1 - Fire Retardant,Velvet,34.33,25.43,22.99,21.56
DABEDAN,DUBLIN,Velvets C1,145,49% Trevira 51% Pes,420,,C1 - Fire Retardant,"Velvet, New",25.41,18.82,17.48,16.15
DABEDAN,SORT,Velvets C1,145,100% Pes,260,,C1 - Fire Retardant,"Velvet, No cut length",,17.29,15.06,14.43
DABEDAN,AIRE,Sheers C1,300,Pes FR,105,,C1 - Fire Retardant,"Sheer, while stocks last",12.23,9.86,8.82,7.86
DABEDAN,ARNO,Sheers C1,300,Pes FR,120,,C1 - Fire Retardant,Sheer,12.86,10.37,9.57,8.52
DABEDAN,BRAVA 08 02,Sheers C1,300,Pes FR,195,,C1 - Fire Retardant,Sheer,13.84,11.16,10.11,8.9
DABEDAN,BRAVA REST OF COLORS,Sheers C1,300,Pes FR,195,,C1 - Fire Retardant,Sheer,15.13,12.2,11.05,9.72
DABEDAN,ETAMIN 22-15 NATURAL,Sheers C1,300,Pes FR,75,,C1 - Fire Retardant,Sheer,,5.51,4.46,4.31
DABEDAN,ETAMIN,Sheers C1,300,Pes FR,85,,C1 - Fire Retardant,Sheer,7.82,6.31,5.11,4.94
DABEDAN,ETAMIN 22-25,Sheers C1,300,Pes FR,99,,C1 - Fire Retardant,Sheer,8.42,6.79,5.49,5.31
DABEDAN,ET TH SERIES,Sheers C1,300,Pes FR,90,,C1 - Fire Retardant,Sheer,10.25,8.27,7.37,6.52
DABEDAN,ELBA,Sheers C1,310,Pes FR,42,,C1 - Fire Retardant,Sheer,16.74,13.5,12.08,10.57
DABEDAN,HIRUNE 01-08,Sheers C1,310,Pes FR,42,,C1 - Fire Retardant,Sheer,15.31,12.35,11.17,10.09
DABEDAN,NILO 01 02 03,Sheers C1,300,Pes FR,175,,C1 - Fire Retardant,Sheer,14.81,11.94,10.86,9.38
DABEDAN,NILO REST OF COLORS,Sheers C1,300,Pes FR,175,,C1 - Fire Retardant,Sheer,16.08,12.97,11.84,10.32
DABEDAN,NIGER 01 02 03,Sheers C1,300,Pes FR,105,,C1 - Fire Retardant,"Sheer, while stocks last",11.53,9.3,8.48,7.38
DABEDAN,NIGER REST OF COLORS,Sheers C1,300,Pes FR,105,,C1 - Fire Retardant,"Sheer, while stocks last",12.8,10.32,9.41,8.19
DABEDAN,PO 01 02 03,Sheers C1,300,Pes FR,98,,C1 - Fire Retardant,"Sheer, while stocks last",8.83,7.12,5.89,5.56
DABEDAN,PO 04 05,Sheers C1,300,Pes FR,98,,C1 - Fire Retardant,"Sheer, while stocks last",9.06,7.31,6.05,5.71
DABEDAN,SATURNO,Sheers C1,310,Pes FR,75,,C1 - Fire Retardant,Sheer,17.84,14.39,12.88,11.27
DABEDAN,SENA 01 02 03,Sheers C1,310,Pes FR,98,,C1 - Fire Retardant,Sheer,11.78,9.5,8.44,7.42
DABEDAN,SENA REST OF COLORS,Sheers C1,310,Pes FR,105,,C1 - Fire Retardant,Sheer,12.93,10.43,9.43,8.19
DABEDAN,SENA TH SERIES,Sheers C1,310,Pes FR,105,,C1 - Fire Retardant,Sheer,13.46,10.68,9.67,8.31
DABEDAN,ANETO PES,Non FR Fabrics,280,100% Polyester,255,,Non FR,"Client color, min 250m",,,11.61,10.07
